Location,Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Cloud Cover,Relative Humidity,,Disease
"Karjat, MH, India","Karjat, MH, India",Week 34 (Aug) 2017,32.1,21.2,27.1,40.8,351.17,25.9,78.2,84.94,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 35 (Aug) 2017,31.1,19.3,26.8,37.9,438.33,29.5,72.9,87.11,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 36 (Sep) 2017,32.1,21.3,26.8,39.3,584.21,46.4,72.7,87.7,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 37 (Sep) 2017,32.2,22.3,28.5,42.5,82.4,24.1,61.8,80.23,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 38 (Sep) 2017,35.1,22.2,28.4,47.5,134.4,27.7,82.2,82.39,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 39 (Sep) 2017,31.1,19.8,26.7,40.8,443.77,29.5,76.7,85.93,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 40 (Oct) 2017,34.1,22.3,28.8,44,57.51,22.3,57.8,80.02,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 41 (Oct) 2017,36.1,23.8,29.7,45.5,62.02,29.5,51.3,74.33,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 42 (Oct) 2017,33.1,22.3,27.8,42.5,265.44,20.5,76.4,84.65,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 43 (Oct) 2017,34.1,22.1,29,45.5,2.61,37.1,52.2,78.09,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 44 (Oct) 2017,36.1,22.8,29.4,40.7,0,20.5,19.7,58.69,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 45 (Nov) 2017,35.1,21.5,28.9,35.2,0,22.3,8.5,44.88,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 46 (Nov) 2017,35.1,20.9,28.4,39.5,0,20.5,4.9,52.68,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 47 (Nov) 2017,34.1,19.4,27.3,34.7,0,18.4,11.6,50.4,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 48 (Nov) 2017,34.1,20.2,28,39.5,13,16.6,17.3,56.64,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 49 (Dec) 2017,34.1,17.4,27.4,33.1,0,18.4,11.5,50.49,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 50 (Dec) 2017,32.1,17.3,25,33.7,38.83,20.5,51.3,77.6,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 51 (Dec) 2017,32.1,18.2,25.1,33.1,0,18.4,17.4,64.75,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 52 (Dec) 2017,33.1,18.8,26.3,33.1,0,18.4,35.9,46.73,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 1 (Dec) 2017,33.1,17.3,25.4,34.5,0,74.2,4.9,53.5,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 1 (Jan) 2018,31.1,17.5,24.2,31.7,0,18.4,0.9,56.53,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 2 (Jan) 2018,34.1,17.1,26.2,35.2,0,18.4,10.2,54.72,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 3 (Jan) 2018,35.1,19.2,27.7,37.4,0,22.3,9.9,49.51,,Stem Rot
